Question,Chapter,Marks,Type,Paragraph,CaseID
At what height will the kinetic energy become zero?,Work and Energy,2,CaseBased,"A ball of mass 2 kg is thrown upward with velocity 20 m/s. It reaches maximum height and falls back.",case3
What is the potential energy at maximum height?,Work and Energy,2,CaseBased,"A ball of mass 2 kg is thrown upward with velocity 20 m/s. It reaches maximum height and falls back.",case3
What will be the velocity when ball returns to ground?,Work and Energy,2,CaseBased,"A ball of mass 2 kg is thrown upward with velocity 20 m/s. It reaches maximum height and falls back.",case3
Which energy conservation law applies here?,Work and Energy,1,CaseBased,"A ball of mass 2 kg is thrown upward with velocity 20 m/s. It reaches maximum height and falls back.",case3
What is the frequency of the sound wave?,Sound,2,CaseBased,"A sound wave has wavelength 2 m and travels at speed 340 m/s in air.",case4
What is the time period of one complete wave?,Sound,2,CaseBased,"A sound wave has wavelength 2 m and travels at speed 340 m/s in air.",case4
How many waves pass a point in one second?,Sound,2,CaseBased,"A sound wave has wavelength 2 m and travels at speed 340 m/s in air.",case4
What type of sound would this be?,Sound,1,CaseBased,"A sound wave has wavelength 2 m and travels at speed 340 m/s in air.",case4
What happens to frequency if wavelength increases?,Sound,2,CaseBased,"A sound wave has wavelength 2 m and travels at speed 340 m/s in air.",case4
What is the buoyant force on the block?,Floatation,2,CaseBased,"A wooden block of volume 200 cm³ floats in water with 3/4 of its volume submerged.",case5
What is the weight of the wooden block?,Floatation,2,CaseBased,"A wooden block of volume 200 cm³ floats in water with 3/4 of its volume submerged.",case5
Calculate the density of wood.,Floatation,3,CaseBased,"A wooden block of volume 200 cm³ floats in water with 3/4 of its volume submerged.",case5
Why does the block float?,Floatation,1,CaseBased,"A wooden block of volume 200 cm³ floats in water with 3/4 of its volume submerged.",case5
What would happen if we push it completely underwater?,Floatation,2,CaseBased,"A wooden block of volume 200 cm³ floats in water with 3/4 of its volume submerged.",case5
What is rotational motion?,Motion,1,Normal,,
Define angular velocity.,Motion,2,Normal,,
Explain the concept of torque.,Force and Laws of Motion,3,Normal,,
What is moment of inertia?,Motion,3,Normal,,
How does a gyroscope work?,Motion,4,Normal,,
What is simple pendulum?,Motion,2,Normal,,
Define periodic motion.,Motion,1,Normal,,
What causes precession?,Motion,4,Normal,,
Explain banking of roads.,Motion,3,Normal,,
What is centrifugal force?,Motion,2,Normal,,
Which quantity remains constant in circular motion?\nA) Speed\nB) Velocity\nC) Acceleration\nD) Displacement,Motion,2,MCQ,,
Angular momentum is product of?\nA) Mass and velocity\nB) Moment of inertia and angular velocity\nC) Force and distance\nD) Torque and time,Motion,3,MCQ,,
Unit of torque is?\nA) N-m\nB) Joule\nC) Watt\nD) Pascal,Force and Laws of Motion,2,MCQ,,
In rolling motion object has?\nA) Only translational motion\nB) Only rotational motion\nC) Both translational and rotational\nD) Neither motion,Motion,3,MCQ,,
Gyroscope is used in?\nA) Clocks\nB) Navigation\nC) Thermometers\nD) Barometers,Motion,3,MCQ,,
Period of simple pendulum depends on?\nA) Mass\nB) Length\nC) Amplitude\nD) Material,Motion,2,MCQ,,
Banking angle depends on?\nA) Speed only\nB) Radius only\nC) Both speed and radius\nD) Mass of vehicle,Motion,3,MCQ,,
Moment of inertia depends on?\nA) Mass only\nB) Shape only\nC) Both mass and shape\nD) Velocity,Motion,3,MCQ,,
Coriolis force is due to?\nA) Earth's rotation\nB) Earth's revolution\nC) Moon's gravity\nD) Air pressure,Motion,4,MCQ,,
Which has maximum moment of inertia?\nA) Solid sphere\nB) Hollow sphere\nC) Solid cylinder\nD) Hollow cylinder,Motion,3,MCQ,,
Assertion: Torque causes rotational motion.\nReason: Torque is rotational equivalent of force.,Force and Laws of Motion,3,AssertionReason,,
Assertion: Angular momentum is conserved.\nReason: No external torque acts on system.,Motion,4,AssertionReason,,
Assertion: Pendulum motion is simple harmonic.\nReason: Restoring force is proportional to displacement.,Motion,3,AssertionReason,,
Assertion: Gyroscope maintains orientation.\nReason: Angular momentum is conserved.,Motion,4,AssertionReason,,
Assertion: Banking reduces friction requirement.\nReason: Normal force provides centripetal component.,Motion,4,AssertionReason,,
Assertion: Rolling sphere has both KE types.\nReason: It has translation and rotation.,Work and Energy,3,AssertionReason,,
Assertion: Flywheel stores energy.\nReason: Rotational kinetic energy is stored.,Work and Energy,3,AssertionReason,,
Assertion: Precession occurs in spinning tops.\nReason: External torque acts on spinning object.,Motion,4,AssertionReason,,
Assertion: Angular velocity is vector quantity.\nReason: It has direction along axis of rotation.,Motion,3,AssertionReason,,
Assertion: Moment of inertia is scalar.\nReason: It depends on mass distribution.,Motion,2,AssertionReason,,
What is resonant frequency?,Sound,2,Normal,,
Explain beats in sound.,Sound,3,Normal,,
What is acoustic impedance?,Sound,4,Normal,,
How do musical instruments produce sound?,Sound,3,Normal,,
What is noise pollution?,Sound,2,Normal,,
Define reverberation.,Sound,2,Normal,,
What is ultrasound used for?,Sound,3,Normal,,
Explain sound intensity.,Sound,3,Normal,,
What causes sonic boom?,Sound,4,Normal,,
How does human ear detect sound?,Sound,4,Normal,,
Beat frequency is?\nA) Sum of frequencies\nB) Difference of frequencies\nC) Product of frequencies\nD) Ratio of frequencies,Sound,2,MCQ,,
Acoustic impedance depends on?\nA) Density only\nB) Speed only\nC) Both density and speed\nD) Frequency,Sound,3,MCQ,,
Which frequency is ultrasonic?\nA) 10 Hz\nB) 1000 Hz\nC) 20000 Hz\nD) 25000 Hz,Sound,2,MCQ,,
Sound intensity is measured in?\nA) Decibel\nB) Hertz\nC) Watt/m²\nD) Pascal,Sound,2,MCQ,,
Reverberation time depends on?\nA) Volume of room\nB) Surface area\nC) Absorption coefficient\nD) All of these,Sound,3,MCQ,,
Musical note has?\nA) Single frequency\nB) Multiple frequencies\nC) No definite frequency\nD) Very high frequency,Sound,2,MCQ,,
Sonic boom occurs when speed is?\nA) Equal to sound speed\nB) Less than sound speed\nC) Greater than sound speed\nD) Twice sound speed,Sound,3,MCQ,,
Human ear can detect frequency range?\nA) 0-20 Hz\nB) 20-20000 Hz\nC) 20000-40000 Hz\nD) Above 40000 Hz,Sound,2,MCQ,,
Echo time should be minimum?\nA) 0.1 s\nB) 0.5 s\nC) 1 s\nD) 2 s,Sound,2,MCQ,,
Noise level above which causes hearing damage?\nA) 50 dB\nB) 80 dB\nC) 100 dB\nD) 120 dB,Sound,3,MCQ,,
Assertion: Beats occur due to interference.\nReason: Two waves of slightly different frequencies interfere.,Sound,3,AssertionReason,,
Assertion: Ultrasound is used in medical imaging.\nReason: It can penetrate body tissues.,Sound,3,AssertionReason,,
Assertion: Musical instruments have overtones.\nReason: They produce multiple frequencies simultaneously.,Sound,3,AssertionReason,,
Assertion: Sonic boom is heard on ground.\nReason: Shock waves reach observer.,Sound,4,AssertionReason,,
Assertion: Reverberation affects sound quality.\nReason: Multiple reflections overlap original sound.,Sound,3,AssertionReason,,
Assertion: Acoustic impedance matching improves transmission.\nReason: Reflection is minimized at interfaces.,Sound,4,AssertionReason,,
Assertion: Noise pollution affects health.\nReason: Loud sounds damage hearing mechanism.,Sound,2,AssertionReason,,
Assertion: Echo is distinct from original sound.\nReason: Time gap between sounds is sufficient.,Sound,2,AssertionReason,,
Assertion: Sound waves show diffraction.\nReason: Wavelength is comparable to obstacle size.,Sound,3,AssertionReason,,
Assertion: Frequency determines pitch.\nReason: Higher frequency produces higher pitch.,Sound,2,AssertionReason,,
What is surface tension?,Pressure,2,Normal,,
Define viscosity.,Pressure,2,Normal,,
Explain Bernoulli's principle.,Pressure,4,Normal,,
What is streamline flow?,Pressure,3,Normal,,
How does a venturi meter work?,Pressure,4,Normal,,
What causes capillary action?,Pressure,3,Normal,,
Define coefficient of viscosity.,Pressure,3,Normal,,
What is turbulent flow?,Pressure,2,Normal,,
How do airplanes generate lift?,Pressure,4,Normal,,
What is Magnus effect?,Pressure,4,Normal,,
Surface tension is due to?\nA) Gravitational force\nB) Intermolecular forces\nC) Magnetic forces\nD) Electric forces,Pressure,2,MCQ,,
Viscosity of liquids with temperature?\nA) Increases\nB) Decreases\nC) Remains constant\nD) First increases then decreases,Pressure,2,MCQ,,
Bernoulli's equation is based on?\nA) Conservation of mass\nB) Conservation of energy\nC) Conservation of momentum\nD) All of these,Pressure,3,MCQ,,
Which has highest viscosity?\nA) Water\nB) Honey\nC) Air\nD) Alcohol,Pressure,2,MCQ,,
Streamline flow is characterized by?\nA) Irregular motion\nB) Smooth regular motion\nC) Turbulent motion\nD) Circular motion,Pressure,2,MCQ,,
Venturi meter measures?\nA) Pressure\nB) Flow rate\nC) Viscosity\nD) Surface tension,Pressure,3,MCQ,,
Capillary rise is maximum for?\nA) Water in glass\nB) Mercury in glass\nC) Oil in glass\nD) Alcohol in plastic,Pressure,2,MCQ,,
Reynolds number determines?\nA) Type of flow\nB) Pressure\nC) Velocity\nD) Density,Pressure,3,MCQ,,
Airplane wing shape is?\nA) Flat\nB) Curved on top\nC) Curved at bottom\nD) Circular,Pressure,2,MCQ,,
Magnus effect is used in?\nA) Cricket ball swing\nB) Airplane lift\nC) Ship propulsion\nD) All of these,Pressure,3,MCQ,,
Assertion: Surface tension acts tangentially.\nReason: It tries to minimize surface area.,Pressure,3,AssertionReason,,
Assertion: Viscous force opposes relative motion.\nReason: It acts between different layers of fluid.,Pressure,3,AssertionReason,,
Assertion: Bernoulli's principle explains airplane lift.\nReason: Pressure decreases with increase in speed.,Pressure,4,AssertionReason,,
Assertion: Streamline flow is ideal flow.\nReason: There is no energy loss due to friction.,Pressure,3,AssertionReason,,
Assertion: Capillary action helps plants.\nReason: Water rises in narrow tubes against gravity.,Pressure,3,AssertionReason,,
Assertion: Viscosity depends on temperature.\nReason: Molecular motion changes with temperature.,Pressure,3,AssertionReason,,
Assertion: Turbulent flow dissipates energy.\nReason: Irregular motion causes internal friction.,Pressure,3,AssertionReason,,
Assertion: Venturi effect reduces pressure.\nReason: Speed increases in narrow section.,Pressure,4,AssertionReason,,
Assertion: Shape affects drag force.\nReason: Streamlined shapes reduce turbulence.,Pressure,3,AssertionReason,,
Assertion: Magnus force is perpendicular to motion.\nReason: Spinning object deflects airflow.,Pressure,4,AssertionReason,,
What is black body radiation?,Work and Energy,3,Normal,,
Define photoelectric effect.,Work and Energy,4,Normal,,
What is work function?,Work and Energy,3,Normal,,
Explain Einstein's mass-energy relation.,Work and Energy,4,Normal,,
What is nuclear binding energy?,Work and Energy,4,Normal,,
Define half-life.,Work and Energy,2,Normal,,
What is radioactive decay?,Work and Energy,3,Normal,,
How does nuclear reactor work?,Work and Energy,5,Normal,,
What is fusion reaction?,Work and Energy,4,Normal,,
Explain solar energy conversion.,Work and Energy,4,Normal,,
Photoelectric effect depends on?\nA) Intensity of light\nB) Frequency of light\nC) Color of metal\nD) Temperature of metal,Work and Energy,3,MCQ,,
Work function is?\nA) Maximum energy of emitted electron\nB) Minimum energy to remove electron\nC) Energy of incident photon\nD) Kinetic energy of electron,Work and Energy,3,MCQ,,
Einstein's equation E=mc² relates?\nA) Energy and momentum\nB) Mass and energy\nC) Force and acceleration\nD) Work and power,Work and Energy,2,MCQ,,
Nuclear binding energy is?\nA) Energy to break nucleus\nB) Energy released in fusion\nC) Energy stored in nucleus\nD) All of these,Work and Energy,3,MCQ,,
Half-life is time for?\nA) Complete decay\nB) Half decay\nC) Quarter decay\nD) No decay,Work and Energy,2,MCQ,,
Which particle is emitted in alpha decay?\nA) Electron\nB) Proton\nC) Neutron\nD) Helium nucleus,Work and Energy,2,MCQ,,
Nuclear reactor uses?\nA) Fusion\nB) Fission\nC) Combustion\nD) Chemical reaction,Work and Energy,3,MCQ,,
Solar energy is due to?\nA) Nuclear fusion\nB) Nuclear fission\nC) Chemical combustion\nD) Gravitational collapse,Work and Energy,3,MCQ,,
Which has highest energy per unit mass?\nA) Coal\nB) Petrol\nC) Uranium\nD) Wood,Work and Energy,2,MCQ,,
Photon energy is proportional to?\nA) Wavelength\nB) Frequency\nC) Speed\nD) Amplitude,Work and Energy,2,MCQ,,
Assertion: Photoelectric effect is instantaneous.\nReason: Light consists of photons.,Work and Energy,4,AssertionReason,,
Assertion: Nuclear energy is clean.\nReason: No chemical pollutants are produced.,Work and Energy,3,AssertionReason,,
Assertion: Fusion requires high temperature.\nReason: Nuclei must overcome electrostatic repulsion.,Work and Energy,4,AssertionReason,,
Assertion: Radioactivity is random process.\nReason: Cannot predict when particular nucleus will decay.,Work and Energy,3,AssertionReason,,
Assertion: Mass decreases in nuclear reaction.\nReason: Mass is converted to energy.,Work and Energy,4,AssertionReason,,
Assertion: Solar cells convert light to electricity.\nReason: Photoelectric effect is utilized.,Work and Energy,3,AssertionReason,,
Assertion: Nuclear waste is hazardous.\nReason: It emits harmful radiations.,Work and Energy,3,AssertionReason,,
Assertion: Binding energy per nucleon varies.\nReason: Nuclear stability depends on mass number.,Work and Energy,4,AssertionReason,,
Assertion: Photons have no rest mass.\nReason: They always travel at speed of light.,Work and Energy,3,AssertionReason,,
Assertion: Chain reaction is self-sustaining.\nReason: Each fission triggers more fissions.,Work and Energy,4,AssertionReason,,
What is electric field?,Force and Laws of Motion,2,Normal,,
Define electric potential.,Force and Laws of Motion,3,Normal,,
What is capacitance?,Force and Laws of Motion,3,Normal,,
Explain Ohm's law.,Force and Laws of Motion,2,Normal,,
What is electrical resistance?,Force and Laws of Motion,2,Normal,,
Define electric current.,Force and Laws of Motion,1,Normal,,
What is electromagnetic induction?,Force and Laws of Motion,4,Normal,,
How does a transformer work?,Force and Laws of Motion,4,Normal,,
What is magnetic field?,Force and Laws of Motion,2,Normal,,
Explain Lenz's law.,Force and Laws of Motion,3,Normal,,
Electric field unit is?\nA) Newton\nB) Coulomb\nC) Newton/Coulomb\nD) Volt,Force and Laws of Motion,2,MCQ,,
Electric potential is?\nA) Force per unit charge\nB) Work per unit charge\nC) Energy per unit mass\nD) Power per unit current,Force and Laws of Motion,2,MCQ,,
Capacitance depends on?\nA) Charge only\nB) Voltage only\nC) Plate area and separation\nD) Material only,Force and Laws of Motion,3,MCQ,,
Ohm's law is valid for?\nA) All materials\nB) Ohmic materials only\nC) Insulators\nD) Superconductors,Force and Laws of Motion,2,MCQ,,
Resistance of conductor depends on?\nA) Length\nB) Cross-sectional area\nC) Material\nD) All of these,Force and Laws of Motion,2,MCQ,,
Current is flow of?\nA) Protons\nB) Electrons\nC) Neutrons\nD) Charges,Force and Laws of Motion,1,MCQ,,
Electromagnetic induction was discovered by?\nA) Ohm\nB) Faraday\nC) Newton\nD) Coulomb,Force and Laws of Motion,2,MCQ,,
Transformer works on?\nA) DC only\nB) AC only\nC) Both AC and DC\nD) Neither AC nor DC,Force and Laws of Motion,3,MCQ,,
Magnetic field is produced by?\nA) Static charges\nB) Moving charges\nC) Neutral particles\nD) All charges,Force and Laws of Motion,2,MCQ,,
Lenz's law is consequence of?\nA) Energy conservation\nB) Charge conservation\nC) Momentum conservation\nD) Mass conservation,Force and Laws of Motion,3,MCQ,,
Assertion: Electric field lines never intersect.\nReason: Electric field has unique direction at each point.,Force and Laws of Motion,3,AssertionReason,,
Assertion: Capacitor stores electrical energy.\nReason: Energy is stored in electric field.,Force and Laws of Motion,3,AssertionReason,,
Assertion: Resistance increases with temperature in metals.\nReason: Increased atomic vibrations hinder electron flow.,Force and Laws of Motion,3,AssertionReason,,
Assertion: Induced current opposes the change.\nReason: Lenz's law ensures energy conservation.,Force and Laws of Motion,4,AssertionReason,,
